row_id,sas_variable_name,label,question,section_name,type_of_variable
100,HIVTSTD3,Month and Year of Last HIV Test," Not including blood donations, in what month and year was your last H.I.V. test?  (If response is before January 1985, code ´777777´.)",HIV/AIDSCore Section Number: 14,Num
127,HOWLONG,How Long since Last Mammogram, How long has it been since you had your last mammogram?,Breast and Cervical Cancer Screening,Num
230,HPVADSHT,How many HPV shots did you receive?, How many HPV shots did you receive?,HPV Vaccination,Num
229,HPVADVC4,Have you ever had an H.P.V. vaccination?, Have you ever had an H.P.V. vaccination?,HPV Vaccination,Num
327,HTIN4,Computed Height in Inches, Reported height in inches,Calculated Variables,Num
328,HTM4,Computed Height in Meters, Reported height in meters,Calculated Variables,Num
3,IDATE,Interview Date, Interview Date,Record Identification,Char
5,IDAY,Interview Day, Interview Day,Record Identification,Char
228,IMFVPLA4,Where did you get your last flu shot/vaccine?, At what kind of place did you get your last flu shot or vaccine?,Place of Flu Vaccination,Num
4,IMONTH,Interview Month, Interview Month,Record Identification,Char
75,INCOME3,Income Level," Is your annual household income from all sources:  (If respondent refuses at any income level, code ´Refused.´)",Demographics,Num
164,INDORTAN,Times used an indoor tanning device," Not including spray-on tans, during the past 12 months, how many times have you used an indoor tanning device such as a sunlamp, tanning bed, or booth?",Indoor Tanning,Num
109,INSULIN1,Now Taking Insulin, Are you now taking insulin?,Diabetes,Num
6,IYEAR,Interview Year, Interview Year,Record Identification,Char
119,JOINPAI2,How Bad Was Joint Pain," During the past 30 days, how bad was your joint pain on average on a scale of 0 to 10 where 0 is no pain and 10 is pain or aching as bad as it can be?",Arthritis,Num
15,LADULT1,Are you 18 years of age or older?, Are you 18 years of age or older?,Land Line Introduction,Num
29,LANDLINE,Do you also have a landline telephone?, Do you also have a landline telephone in your home that is used to make and receive calls?,Cell Phone Introduction,Num
18,LANDSEX2,Are you male or female?, Are you?,Land Line Introduction,Num
142,LASTSIG4,Time Since Last Sigmoidoscopy/Colonoscopy, How long has it been since your most recent colonoscopy or sigmoidoscopy?,Colorectal Cancer Screening,Num
183,LASTSMK2,Interval Since Last Smoked," How long has it been since you last smoked a cigarette, even one or two puffs?",Tobacco Cessation,Num
123,LCSCTSC1,Did you have a CT or CAT scan?, Have you ever had a CT or CAT scan of your chest area?,Lung Cancer Screening,Num
125,LCSCTWHN,When did you have your most recent CT or CAT scan?, When did you have your most recent CT or CAT scan of your chest area mainly to check or screen for lung cancer?,Lung Cancer Screening,Num
120,LCSFIRST,How old when you first started smoking?, How old were you when you first started to smoke cigarettes regularly,Lung Cancer Screening,Num
121,LCSLAST,How old when you last smoked?, How old were you when you last smoked cigarettes regularly?,Lung Cancer Screening,Num
122,LCSNUMCG,"On average, how many cigarettes do you smoke each day?"," On average, when you {smoke/smoked} regularly, about how many cigarettes {do/did} you usually smoke each day?",Lung Cancer Screening,Num
124,LCSSCNCR,Were any CT or CAT scans done to check for lung cancer?, Were any of the CT or CAT scans of your chest area done mainly to check or screen for lung cancer?,Lung Cancer Screening,Num
117,LMTJOIN3,Limited Because of Joint Symptoms, Are you now limited in any way in any of your usual activities because of arthritis or joint symptoms?,Arthritis,Num
19,LNDSXBRT,What was your sex at birth?, What was your sex at birth? Was it male or female?,Land Line Introduction,Num
190,LOADULK2,Any Loaded Firearms Also Unlocked, Are any of these loaded firearms also unlocked?,Firearm Safety,Num
235,LSATISFY,Satisfaction with life," In general, how satisfied are you with your life?",Social Determinants and Health Equity,Num
209,MARIJAN1,"During the past 30 days, on how many days did you use marijuana or hashish?"," During the past 30 days, on how many days did you use marijuana or cannabis?",Marijuana Use,Num
66,MARITAL,Marital Status, Are you: (marital status),Demographics,Num
213,MARJDAB,Did you dab marijuana or cannabis?," Did you dab it (for example, using a dabbing rig, knife, or dab pen)?",Marijuana Use,Num
211,MARJEAT,Did you eat marijuana or cannabis?," Did you eat it or drink it (for example, in brownies, cakes, cookies, or candy, or in tea, cola, or alcohol)?",Marijuana Use,Num
214,MARJOTHR,Did you use marijuana or cannabis some other way?, Did you use it in some other way?,Marijuana Use,Num
210,MARJSMOK,Did you smoke marijuana or cannabis?," During the past 30 days, did you smoke it (for example, in a joint, bong, pipe, or blunt)?",Marijuana Use,Num
212,MARJVAPE,Did you vape marijuana or cannabis?," Did you vaporize it (for example, in an e-cigarette-like vaporizer or another vaporizing device)",Marijuana Use,Num
94,MAXDRNKS,Most drinks on single occasion past 30 days," During the past 30 days, what is the largest number of drinks you had on any occasion?",Alcohol Consumption,Num
282,MAXVO21_,Estimated Age-Gender Specific Maximum Oxygen Consumption, Estimated Age-Gender Specific Maximum Oxygen Consumption,Calculated Variables,Num
38,MEDCOST1,Could Not Afford To See Doctor, Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?,Health Care Access,Num
185,MENTCIGS,Do you usually smoke menthol cigarettes?," Currently, when you smoke cigarettes, do you usually smoke menthol cigarettes?",Other Tobacco Use,Num
186,MENTECIG,Do you usually use menthol e-cigarettes?," Currently, when you use e-cigarettes, do you usually use menthol e-cigarettes?",Other Tobacco Use,Num
34,MENTHLTH,Number of Days Mental Health Not Good," Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Healthy Days,Num
280,METVL12_,Activity MET Value for First Activity, Activity MET Value for First Activity,Calculated Variables,Num
281,METVL22_,Activity MET Value for Second Activity, Activity MET Value for Second Activity,Calculated Variables,Num
260,MSCODE,Metropolitan Status Code, Metropolitan Status Code,Weighting Variables,Num
16,NUMADULT,Number of Adults in Household," I need to randomly select one adult who lives in your household to be interviewed. Excluding adults living away from home, such as students away at college, how many members of your household, including yourself, are 18 years of age or older?",Land Line Introduction,Num
165,NUMBURN3,Number Of Sunburns In Past 12 Months," During the past 12 months, how many times have you had a sunburn?",Excess Sun Exposure,Num
69,NUMHHOL4,Household Landline Telephones," Not including cell phones or numbers used for computers, fax machines or security systems, do you have more than one landline telephone number in your household?",Demographics,Num
70,NUMPHON4,Residential Landline Phones, How many of these landline telephone numbers are residential numbers?,Demographics,Num
296,PA3,Minutes of total Physical Activity per week, Minutes of total Physical Activity per week,Calculated Variables,Num
299,PA3,Minutes of total Vigorous Physical Activity per week, Minutes of total Vigorous Physical Activity per week,Calculated Variables,Num
286,PADUR1_,Minutes of First Activity, Minutes of First Activity,Calculated Variables,Num
287,PADUR2_,Minutes of Second Activity, Minutes of Second Activity,Calculated Variables,Num
